Date,Open,High,Low,Close,Adj Close,Volume
2022-08-08,59.400002,61.980000,59.320000,61.090000,61.090000,731200
2022-08-09,60.509998,60.779999,57.110001,58.189999,58.189999,753800
2022-08-10,63.759998,68.800003,63.090000,63.730000,63.730000,1749000
2022-08-11,64.529999,67.989998,64.050003,64.220001,64.220001,755300
2022-08-12,63.349998,66.980003,62.500000,65.309998,65.309998,1032500
2022-08-15,65.190002,67.480003,64.500000,67.029999,67.029999,641700
2022-08-16,66.529999,66.919998,65.470001,66.120003,66.120003,598800
2022-08-17,66.349998,68.480003,65.379997,67.610001,67.610001,722200
2022-08-18,67.900002,72.570000,67.650002,71.959999,71.959999,1150300
2022-08-19,71.089996,71.089996,69.160004,69.830002,69.830002,726900
2022-08-22,68.889999,70.129997,67.650002,67.949997,67.949997,829100
2022-08-23,68.300003,69.989998,67.660004,67.669998,67.669998,416900
2022-08-24,67.669998,71.980003,66.500000,70.290001,70.290001,787100
2022-08-25,71.480003,74.930000,71.040001,74.370003,74.370003,813400
2022-08-26,74.099998,74.099998,69.400002,69.820000,69.820000,746000
2022-08-29,68.360001,71.169998,68.000000,69.260002,69.260002,765700
2022-08-30,69.589996,70.019997,64.300003,64.599998,64.599998,890300
2022-08-31,64.930000,66.139999,63.700001,65.080002,65.080002,938000
2022-09-01,63.900002,64.320000,61.900002,63.299999,63.299999,845200
2022-09-02,64.400002,66.790001,63.959999,64.540001,64.540001,579200
2022-09-06,64.620003,65.250000,61.130001,61.580002,61.580002,593000
2022-09-07,61.439999,63.590000,60.840000,63.310001,63.310001,577800
2022-09-08,62.700001,65.070000,62.259998,64.980003,64.980003,382400
2022-09-09,66.279999,67.080002,65.320000,66.879997,66.879997,457100
2022-09-12,67.089996,68.169998,65.010002,66.660004,66.660004,551700
2022-09-13,64.000000,64.989998,62.610001,63.419998,63.419998,503100
2022-09-14,63.639999,64.449997,62.470001,64.379997,64.379997,402300
2022-09-15,64.099998,65.930000,63.560001,65.360001,65.360001,536600
2022-09-16,64.660004,64.660004,60.439999,62.299999,62.299999,753400
2022-09-19,58.139999,59.790001,56.029999,57.970001,57.970001,1036000
2022-09-20,57.240002,57.580002,55.669998,55.799999,55.799999,740700
2022-09-21,56.290001,57.230000,54.759998,55.029999,55.029999,587800
2022-09-22,55.040001,55.209999,52.840000,54.189999,54.189999,541700
2022-09-23,52.730000,53.639999,51.630001,53.430000,53.430000,642200
2022-09-26,53.180000,53.990002,51.669998,52.150002,52.150002,433100
2022-09-27,53.049999,53.650002,52.290001,53.500000,53.500000,284700
2022-09-28,53.500000,55.910000,53.200001,55.650002,55.650002,356700
2022-09-29,54.910000,54.910000,53.209999,54.450001,54.450001,253100
2022-09-30,54.139999,57.209999,54.000000,55.070000,55.070000,565200
2022-10-03,56.549999,57.810001,55.189999,57.070000,57.070000,456600
2022-10-04,58.930000,60.730000,58.709999,60.270000,60.270000,559700
2022-10-05,59.660000,61.680000,58.810001,60.470001,60.470001,656200
2022-10-06,60.169998,61.889999,60.099998,61.450001,61.450001,398100
2022-10-07,60.009998,60.279999,58.389999,58.930000,58.930000,473800
2022-10-10,59.869999,59.990002,56.139999,56.250000,56.250000,381200
2022-10-11,55.500000,56.910000,54.790001,55.740002,55.740002,359600
2022-10-12,55.000000,55.209999,52.299999,52.419998,52.419998,443800
2022-10-13,51.790001,55.400002,50.279999,55.150002,55.150002,567800
2022-10-14,56.060001,56.060001,53.099998,54.020000,54.020000,371100
2022-10-17,55.439999,56.400002,54.840000,56.119999,56.119999,352100
2022-10-18,57.930000,57.970001,54.439999,55.360001,55.360001,344800
2022-10-19,54.660000,56.139999,54.639999,55.590000,55.590000,261700
2022-10-20,64.400002,65.000000,60.110001,61.340000,61.340000,1791300
2022-10-21,60.639999,65.430000,60.639999,64.529999,64.529999,993500
2022-10-24,65.099998,65.620003,62.799999,63.009998,63.009998,516700
2022-10-25,63.090000,67.180000,63.090000,67.040001,67.040001,650600
2022-10-26,66.480003,68.180000,65.500000,65.650002,65.650002,400600
2022-10-27,67.000000,68.300003,66.589996,66.820000,66.820000,535800
2022-10-28,66.779999,68.849998,66.620003,68.720001,68.720001,489000
2022-10-31,68.580002,70.190002,67.750000,69.589996,69.589996,647500
2022-11-01,70.199997,72.199997,69.169998,71.860001,71.860001,914500
2022-11-02,75.000000,85.949997,74.150002,80.839996,80.839996,3850800
2022-11-03,78.699997,81.410004,75.209999,79.699997,79.699997,1173300
2022-11-04,80.260002,82.910004,75.370003,76.629997,76.629997,1196200
2022-11-07,76.989998,78.690002,76.849998,77.150002,77.150002,621500
2022-11-08,78.500000,79.900002,77.050003,78.309998,78.309998,740000
2022-11-09,78.620003,81.120003,76.209999,76.489998,76.489998,595200
2022-11-10,80.860001,81.110001,78.540001,80.720001,80.720001,796600
2022-11-11,81.879997,86.150002,81.410004,83.470001,83.470001,1395000
2022-11-14,82.940002,84.089996,80.599998,81.930000,81.930000,917300
2022-11-15,85.250000,89.690002,84.000000,86.889999,86.889999,1197900
2022-11-16,86.959999,87.720001,81.290001,82.169998,82.169998,981400
2022-11-17,82.500000,88.029999,82.500000,87.019997,87.019997,1029800
2022-11-18,88.610001,88.610001,84.250000,86.489998,86.489998,933300
2022-11-21,86.000000,86.489998,83.379997,83.910004,83.910004,526700
2022-11-22,83.910004,87.919998,83.040001,87.720001,87.720001,702000
2022-11-23,88.239998,91.739998,87.639999,91.220001,91.220001,889900
2022-11-25,91.870003,94.989998,91.550003,93.870003,93.870003,641800
2022-11-28,93.000000,95.220001,91.860001,92.500000,92.500000,964700
2022-11-29,92.440002,94.889999,89.839996,91.489998,91.489998,916900
2022-11-30,91.440002,91.489998,85.699997,90.230003,90.230003,1240900
2022-12-01,91.760002,93.220001,89.029999,90.510002,90.510002,810600
2022-12-02,88.690002,89.500000,85.349998,86.699997,86.699997,843700
2022-12-05,86.500000,86.669998,82.559998,83.309998,83.309998,840900
2022-12-06,83.349998,86.430000,81.029999,86.279999,86.279999,991700
2022-12-07,84.669998,87.160004,82.769997,86.099998,86.099998,667400
2022-12-08,86.320000,89.970001,85.150002,85.610001,85.610001,1030800
2022-12-09,85.379997,86.500000,83.300003,84.019997,84.019997,662400
2022-12-12,85.150002,89.480003,84.290001,89.160004,89.160004,725300
2022-12-13,92.720001,93.000000,88.769997,90.010002,90.010002,839800
2022-12-14,90.500000,91.550003,87.930000,90.040001,90.040001,1012100
2022-12-15,88.330002,88.739998,78.870003,80.580002,80.580002,1660800
2022-12-16,80.239998,82.360001,78.800003,80.730003,80.730003,1327900
2022-12-19,80.669998,81.379997,77.470001,78.290001,78.290001,1134300
2022-12-20,83.320000,85.849998,82.599998,83.309998,83.309998,3338500
2022-12-21,84.019997,85.290001,82.690002,83.870003,83.870003,8430900
2022-12-22,83.059998,83.379997,79.470001,82.000000,82.000000,1299100
2022-12-23,81.949997,82.349998,80.129997,82.190002,82.190002,966000
2022-12-27,82.510002,83.980003,82.190002,82.889999,82.889999,790200
2022-12-28,82.349998,84.349998,80.559998,80.599998,80.599998,899800
2022-12-29,81.790001,83.339996,81.099998,81.910004,81.910004,864300
2022-12-30,80.529999,82.800003,79.519997,82.099998,82.099998,639200
2023-01-03,83.080002,85.250000,81.940002,83.860001,83.860001,815200
2023-01-04,84.610001,87.739998,82.059998,82.250000,82.250000,1449600
2023-01-05,81.519997,81.559998,79.629997,80.250000,80.250000,1097800
2023-01-06,81.449997,85.120003,80.529999,84.389999,84.389999,1033100
2023-01-09,85.949997,92.800003,84.660004,84.769997,84.769997,2621600
2023-01-10,81.000000,81.500000,75.110001,78.370003,78.370003,4158300
2023-01-11,78.309998,78.699997,74.040001,75.610001,75.610001,2121400
2023-01-12,76.449997,80.820000,75.660004,80.449997,80.449997,1080300
2023-01-13,79.610001,82.150002,79.550003,80.580002,80.580002,667900
2023-01-17,80.550003,84.910004,80.199997,84.830002,84.830002,1169700
2023-01-18,85.989998,86.820000,78.639999,78.870003,78.870003,1537600
2023-01-19,76.489998,76.750000,69.019997,70.860001,70.860001,4910300
2023-01-20,71.500000,72.919998,70.860001,71.980003,71.980003,1399000
2023-01-23,72.959999,74.919998,71.510002,73.750000,73.750000,1182200
2023-01-24,73.209999,78.470001,72.370003,78.250000,78.250000,1275900
2023-01-25,77.180000,78.070000,74.599998,77.309998,77.309998,1044600
2023-01-26,79.400002,79.739998,76.010002,76.269997,76.269997,719900
2023-01-27,75.739998,76.379997,73.919998,74.300003,74.300003,905000
2023-01-30,73.070000,75.070000,71.629997,72.129997,72.129997,1148300
2023-01-31,72.550003,73.930000,72.050003,72.330002,72.330002,1571600
2023-02-01,72.000000,80.769997,70.110001,79.739998,79.739998,3203300
2023-02-02,80.269997,84.540001,79.820000,81.879997,81.879997,1518000
2023-02-03,81.000000,85.849998,80.680000,84.339996,84.339996,1401000
2023-02-06,83.500000,84.400002,81.800003,83.209999,83.209999,877600
2023-02-07,83.160004,84.779999,80.000000,81.980003,81.980003,876300
2023-02-08,82.680000,87.489998,82.330002,85.220001,85.220001,1758000
2023-02-09,86.900002,93.879997,86.550003,87.000000,87.000000,2465700
2023-02-10,86.000000,90.919998,85.769997,90.019997,90.019997,1397700
2023-02-13,89.449997,91.550003,87.599998,90.529999,90.529999,1081000
2023-02-14,89.830002,94.830002,89.040001,92.879997,92.879997,1517200
2023-02-15,93.019997,93.839996,91.690002,93.000000,93.000000,1051900
2023-02-16,92.680000,97.959999,92.070000,95.879997,95.879997,1698000
2023-02-17,95.080002,95.720001,90.660004,91.980003,91.980003,1386900
2023-02-21,90.500000,93.230003,87.910004,88.059998,88.059998,1120000
2023-02-22,87.589996,88.720001,85.610001,86.709999,86.709999,871000
2023-02-23,89.330002,94.949997,89.300003,94.269997,94.269997,1832800
2023-02-24,92.480003,98.360001,91.959999,98.160004,98.160004,1945100
2023-02-27,98.860001,103.980003,98.699997,101.129997,101.129997,1891100
2023-02-28,100.919998,103.000000,97.860001,97.970001,97.970001,1741600
